Time (s),Latitude (°),Longitude (°),Height (m),Velocity (m/s),Direction (°),Horizontal Accuracy (m),Vertical Accuracy (m),Datetime
0.495292277,52.3347982,4.864312,23.27144653,,,20.0,5.439884186,2024-06-05 15:54:27.495292
20.55629228,52.3347947,4.8643583,23.37146658,,,17.16600037,1.54666853,2024-06-05 15:54:47.556292
41.19529228,52.3347976,4.8643529,23.2714691,,,13.33699989,1.876633167,2024-06-05 15:55:08.195292
61.17429228,52.3348014,4.8644014,19.37150449,,,13.98999977,1.0,2024-06-05 15:55:28.174292
81.19929228,52.3348238,4.8643892,19.37152901,,,14.89599991,1.45902586,2024-06-05 15:55:48.199292
101.1852923,52.3348297,4.8643914,19.37153856,,,15.36800003,1.825338244,2024-06-05 15:56:08.185292
121.2202923,52.3348065,4.8643888,19.37150445,,,32.09899902,2.217978477,2024-06-05 15:56:28.220292
141.2122923,52.3348322,4.8643999,19.37154694,,,13.45600033,1.40628171,2024-06-05 15:56:48.212292
161.2072923,52.3346606,4.8643327,19.27126487,,,13.48600006,1.120815754,2024-06-05 15:57:08.207292
181.2502923,52.334412,4.8642554,19.37087332,,,14.0170002,1.165064216,2024-06-05 15:57:28.250292
201.2312923,52.3344148,4.8642986,19.37090197,,,13.7510004,1.048040748,2024-06-05 15:57:48.231292
221.2802923,52.334415,4.8642243,19.37085974,,,20.0,2.145135641,2024-06-05 15:58:08.280292
241.2492923,52.3344114,4.864272,23.47088426,,,13.77000046,1.0,2024-06-05 15:58:28.249292
261.2942923,52.3347883,4.8640757,23.57130043,,,24.89999962,2.413682461,2024-06-05 15:58:48.294292
