Time (s),Latitude (°),Longitude (°),Height (m),Velocity (m/s),Direction (°),Horizontal Accuracy (m),Vertical Accuracy (m),Datetime
1.239395885,52.34429852,4.90046095,-20.06082896,3.49000001,72.40000153,17.18017578,21.98771477,2024-06-04 16:20:42.239396
1.279048593,52.34430622,4.90048759,-19.8750728,3.49000001,71.40000153,17.23929214,22.00546455,2024-06-04 16:20:42.279049
2.28118526,52.34426468,4.90053393,-14.70451165,3.329999924,74.30000305,8.991420746,13.16422844,2024-06-04 16:20:43.281185
3.278228541,52.34428824,4.90060815,-11.09451141,4.679999828,57.5,7.140871525,9.344677925,2024-06-04 16:20:44.278229
4.27918354,52.34428778,4.90067788,-8.484486665,3.700000048,69.0,6.866955757,8.475131035,2024-06-04 16:20:45.279184
5.28116755,52.34427852,4.90074166,-9.847500241,4.690000057,72.40000153,6.647012711,8.278132439,2024-06-04 16:20:46.281168
6.279320102,52.34430168,4.90080894,-9.659379547,5.050000191,69.80000305,6.280900478,7.720602989,2024-06-04 16:20:47.279320
7.279999216,52.34432849,4.90085342,-10.33668427,5.590000153,57.09999847,5.80150032,7.503000736,2024-06-04 16:20:48.279999
8.280887393,52.34440215,4.90092025,0.4308532699,4.679999828,53.5,4.365364075,5.292482376,2024-06-04 16:20:49.280887
9.284464267,52.34441806,4.90101101,0.5214430199,5.46999979,67.19999695,3.939062357,4.568745136,2024-06-04 16:20:50.284464
10.29193229,52.34444378,4.90106272,2.911462692,4.730000019,59.20000076,3.952495575,4.470763683,2024-06-04 16:20:51.291932
11.28299364,52.34445677,4.90112793,3.13801997,3.980000019,57.09999847,3.911088943,4.371088505,2024-06-04 16:20:52.282994
12.2892588,52.34448376,4.90119439,3.911838971,5.079999924,54.09999847,4.121961594,4.250921249,2024-06-04 16:20:53.289259
13.28380536,52.34452704,4.90122653,5.409355143,4.539999962,34.40000153,4.437799454,4.284038544,2024-06-04 16:20:54.283805
14.28625114,52.34455634,4.90129443,5.027904802,4.769999981,59.90000153,4.337994576,4.161539078,2024-06-04 16:20:55.286251
15.28778109,52.3445691,4.901368,5.126781011,5.429999828,59.90000153,4.573429585,4.25388813,2024-06-04 16:20:56.287781
16.2843689,52.34457163,4.90144459,5.128476523,4.670000076,65.90000153,4.394920826,4.15119648,2024-06-04 16:20:57.284369
17.2830114,52.34458251,4.90151014,5.160328867,5.170000076,59.59999847,4.358117104,4.116675854,2024-06-04 16:20:58.283011
18.28459067,52.34459876,4.90157318,4.865099961,4.559999943,55.09999847,4.483189583,4.047559261,2024-06-04 16:20:59.284591
19.28370796,52.34461653,4.90163336,4.721910136,3.700000048,48.59999847,4.48845768,4.107042313,2024-06-04 16:21:00.283708
20.28190333,52.34463069,4.90170293,4.371078999,4.75,67.40000153,4.724089622,4.23804903,2024-06-04 16:21:01.281903
21.28218603,52.34464978,4.90176593,3.858629965,4.519999981,59.0,5.221852779,4.32652998,2024-06-04 16:21:02.282186
22.28478322,52.34468331,4.90185177,4.113670522,5.0,57.59999847,6.259948254,4.535377502,2024-06-04 16:21:03.284783
23.28249676,52.34469282,4.90191411,3.898326706,3.970000029,68.69999695,5.296991348,4.511332512,2024-06-04 16:21:04.282497
24.28347166,52.34470941,4.9019695,3.702703265,3.950000048,61.59999847,4.919241905,4.375443459,2024-06-04 16:21:05.283472
25.28381176,52.34473141,4.90202454,3.643378776,4.190000057,61.90000153,4.725107193,4.260928154,2024-06-04 16:21:06.283812
26.28206541,52.34474927,4.90207326,3.673217168,3.25,60.79999924,4.795581341,4.3574543,2024-06-04 16:21:07.282065
27.28291598,52.34476228,4.90211705,3.665814426,2.980000019,65.19999695,4.819210052,4.367204666,2024-06-04 16:21:08.282916
28.28389181,52.34477972,4.90216734,4.015843556,3.829999924,66.40000153,4.769643307,4.27128458,2024-06-04 16:21:09.283892
29.285069,52.34480049,4.90222729,5.479530404,4.340000153,64.5,4.927552223,4.291488647,2024-06-04 16:21:10.285069
30.28607869,52.34482079,4.90228694,5.636942001,4.010000229,60.79999924,4.767537594,4.355026722,2024-06-04 16:21:11.286079
31.28388405,52.34483822,4.90234724,5.546669251,4.070000172,64.69999695,4.724553585,4.22295332,2024-06-04 16:21:12.283884
32.28524254,52.34485554,4.90240657,5.691503209,3.779999971,66.80000305,4.916137695,4.1797719,2024-06-04 16:21:13.285243
33.28275207,52.34487379,4.90247164,5.473731917,4.010000229,63.59999847,4.549514771,4.171450615,2024-06-04 16:21:14.282752
34.28302207,52.34489853,4.90253093,6.856125174,4.139999866,61.79999924,4.452142715,4.136940956,2024-06-04 16:21:15.283022
35.28332613,52.34491832,4.90258903,7.415329597,4.110000134,60.70000076,4.495704174,4.29812479,2024-06-04 16:21:16.283326
36.28372592,52.34493823,4.9026503,7.004992553,4.449999809,59.59999847,4.443535805,4.267714024,2024-06-04 16:21:17.283726
37.28573421,52.34496433,4.9027201,6.464725315,5.409999847,56.40000153,4.348905087,4.156095982,2024-06-04 16:21:18.285734
38.28422764,52.34499112,4.90278871,6.032978878,4.349999905,60.79999924,4.41930151,4.350784302,2024-06-04 16:21:19.284228
39.28989973,52.34502302,4.9028585,6.838850209,4.900000095,57.29999924,4.632323265,4.74857235,2024-06-04 16:21:20.289900
40.28262618,52.3450508,4.90292891,6.927186774,4.610000134,60.40000153,4.871038914,4.868327141,2024-06-04 16:21:21.282626
41.28518431,52.34507867,4.90299603,7.0442081,4.929999828,56.29999924,4.823282719,5.014273167,2024-06-04 16:21:22.285184
42.28368248,52.34510785,4.90306577,6.753090695,5.230000019,59.09999847,4.832798004,4.854465485,2024-06-04 16:21:23.283682
43.28457837,52.34514043,4.90313736,5.413395178,5.099999905,57.40000153,4.906004906,4.952051163,2024-06-04 16:21:24.284578
44.29126181,52.34515493,4.90316613,4.623210042,0.0,,4.549654961,4.660538197,2024-06-04 16:21:25.291262
45.28253102,52.3451613,4.90317762,4.988337955,1.50999999,60.5,4.508341312,4.464197636,2024-06-04 16:21:26.282531
46.28011024,52.34517868,4.90321725,4.745038131,3.789999962,59.59999847,4.375706673,4.339881897,2024-06-04 16:21:27.280110
47.28407378,52.3452055,4.9032774,3.592217547,4.46999979,56.5,4.401808739,4.29127121,2024-06-04 16:21:28.284074
48.28578821,52.34523872,4.90334058,3.220352579,4.869999886,50.70000076,4.381321907,4.302835464,2024-06-04 16:21:29.285788
49.28265253,52.34527835,4.9033999,2.281905105,4.670000076,45.59999847,4.595508099,4.514322758,2024-06-04 16:21:30.282653
50.27987436,52.34531748,4.90345147,0.06470491392,4.269999981,40.90000153,5.125950336,4.799240112,2024-06-04 16:21:31.279874
51.28150165,52.34533835,4.90346678,-0.7039945677,0.0,,4.325109959,4.380693913,2024-06-04 16:21:32.281502
52.28638269,52.34534049,4.90346507,-0.7076546328,0.0,,4.140624523,4.064327717,2024-06-04 16:21:33.286383
53.28285732,52.34534341,4.90346633,-1.555306029,0.3199999928,34.59999847,4.143659115,3.901500702,2024-06-04 16:21:34.282857
54.28315644,52.34535897,4.90347504,-1.877056363,1.870000005,17.39999962,4.216508865,3.961147785,2024-06-04 16:21:35.283156
55.29480888,52.34538743,4.90349174,-3.049247729,2.819999933,19.60000038,5.281253338,4.264861584,2024-06-04 16:21:36.294809
56.28979201,52.34541818,4.90350946,-3.882690153,0.0,,4.336639404,4.162701607,2024-06-04 16:21:37.289792
57.28663086,52.34546534,4.90355364,-4.380583914,4.5,26.5,5.621311188,4.831577301,2024-06-04 16:21:38.286631
58.2838619,52.34550471,4.90357515,-4.897361578,0.0,,5.04788208,4.663689613,2024-06-04 16:21:39.283862
59.28892711,52.34551487,4.90358225,-4.158207387,0.0,,5.484739304,4.840698242,2024-06-04 16:21:40.288927
60.28146039,52.34551938,4.90359851,-4.447803484,0.5299999714,60.59999847,6.65389061,5.2405653,2024-06-04 16:21:41.281460
61.28136513,52.34554633,4.90366506,-2.732395104,3.039999962,60.90000153,6.202774048,5.205230713,2024-06-04 16:21:42.281365
62.28368633,52.34556983,4.90373161,-2.525475489,3.099999905,63.5,10.89131451,5.009126186,2024-06-04 16:21:43.283686
63.27883696,52.3455921,4.90379925,-2.352858745,3.089999914,66.80000305,10.78402996,4.859102249,2024-06-04 16:21:44.278837
64.27952248,52.34561607,4.90387165,-1.957458542,3.50999999,66.69999695,10.8517437,4.840161324,2024-06-04 16:21:45.279522
65.27998513,52.34563626,4.9039596,-6.226300355,3.390000105,69.0,10.72290325,4.950805187,2024-06-04 16:21:46.279985
66.2817693,52.34565779,4.90404504,-4.774499625,3.609999895,73.0,10.556674,4.706612587,2024-06-04 16:21:47.281769
67.27887774,52.34568615,4.90413419,-6.023736907,3.75999999,75.0,10.49838352,4.540472984,2024-06-04 16:21:48.278878
68.27982888,52.34571789,4.90422263,-6.837117764,3.900000095,68.59999847,10.38247108,4.394215107,2024-06-04 16:21:49.279829
69.27955284,52.34575479,4.90430863,-7.099101121,4.420000076,65.40000153,10.50041199,4.482475758,2024-06-04 16:21:50.279553
70.27924398,52.34578616,4.90438822,-6.560803014,4.050000191,65.80000305,10.68233109,4.556274414,2024-06-04 16:21:51.279244
71.28173169,52.34581491,4.90446007,-6.811697628,3.74000001,64.19999695,11.16222477,4.842163086,2024-06-04 16:21:52.281732
72.2818368,52.34583751,4.90450628,-8.059197704,0.0,,10.6583519,4.661465168,2024-06-04 16:21:53.281837
73.2885958,52.34586606,4.90457433,-7.682348202,3.349999905,61.59999847,11.29454994,5.063591003,2024-06-04 16:21:54.288596
74.28977362,52.34588686,4.90465191,-7.396690709,3.450000048,64.0,11.44774628,5.044825077,2024-06-04 16:21:55.289774
75.27934221,52.3460213,4.90488195,0.1176697275,3.849999905,77.09999847,12.01242161,5.184294701,2024-06-04 16:21:56.279342
76.27942752,52.3460271,4.90495081,1.255290741,4.159999847,76.19999695,12.08414841,5.234874249,2024-06-04 16:21:57.279428
77.28022273,52.34604226,4.90500046,1.457061906,4.239999771,73.0,11.77136612,5.290248394,2024-06-04 16:21:58.280223
78.2791807,52.34605204,4.90505245,1.558912255,4.139999866,72.0,11.50522327,5.184652805,2024-06-04 16:21:59.279181
79.2814044,52.34604779,4.90509681,0.8739952081,3.890000105,86.40000153,11.00121498,4.76211977,2024-06-04 16:22:00.281404
80.28037309,52.34605749,4.90517769,1.912080306,4.039999962,61.59999847,10.72419834,4.522622108,2024-06-04 16:22:01.280373
81.29021419,52.34605947,4.90522948,4.66974226,3.430000067,77.69999695,10.36752892,4.325441837,2024-06-04 16:22:02.290214
82.28389388,52.34606959,4.90527571,5.220503355,3.74000001,72.40000153,10.29594135,4.384243011,2024-06-04 16:22:03.283894
