"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)"
2.807101000E-3,-3.947858334E0,5.322834015E0,7.272685528E0
2.305199700E-2,-5.444868088E0,4.515555382E0,6.307480335E0
6.305199700E-2,-4.117748737E0,5.406582832E0,6.779165745E0
1.030519970E-1,-4.117748737E0,5.406582832E0,6.779165745E0
1.430519970E-1,-4.117748737E0,5.406582832E0,6.779165745E0
1.830519970E-1,-4.117748737E0,5.406582832E0,6.779165745E0
2.230519970E-1,-4.117748737E0,5.406582832E0,6.779165745E0
2.630519970E-1,-4.117748737E0,5.406582832E0,6.779165745E0
3.030519970E-1,-4.117748737E0,5.406582832E0,6.779165745E0
3.430519970E-1,-4.117748737E0,5.406582832E0,6.779165745E0
3.830519970E-1,-4.117748737E0,5.406582832E0,6.779165745E0
4.230519970E-1,-4.117748737E0,5.406582832E0,6.779165745E0
4.630519970E-1,-4.117748737E0,5.406582832E0,6.779165745E0
5.030519970E-1,-4.117748737E0,5.406582832E0,6.779165745E0
5.430519970E-1,-4.117748737E0,5.406582832E0,6.779165745E0
5.830519970E-1,-4.117748737E0,5.406582832E0,6.779165745E0
6.230519970E-1,-4.117748737E0,5.406582832E0,6.779165745E0
6.630519970E-1,-4.117748737E0,5.406582832E0,6.779165745E0
7.030519970E-1,-4.117748737E0,5.406582832E0,6.779165745E0
7.430519970E-1,-4.117748737E0,5.406582832E0,6.779165745E0
7.830519970E-1,-4.117748737E0,5.406582832E0,6.779165745E0
8.230519970E-1,3.101098061E0,4.449752808E0,9.777372360E0
8.630519970E-1,3.101098061E0,4.449752808E0,9.777372360E0
9.030519970E-1,3.101098061E0,4.449752808E0,9.777372360E0
9.430519970E-1,3.101098061E0,4.449752808E0,9.777372360E0
9.830519970E-1,3.101098061E0,4.449752808E0,9.777372360E0
1.023051997E0,3.101098061E0,4.449752808E0,9.777372360E0
1.063051997E0,2.747558594E0,4.120141506E0,7.568498135E0
1.103051997E0,2.747558594E0,4.120141506E0,7.568498135E0
1.143051997E0,2.747558594E0,4.120141506E0,7.568498135E0
1.183051997E0,2.747558594E0,4.120141506E0,7.568498135E0
1.223051997E0,2.747558594E0,4.120141506E0,7.568498135E0
1.263051997E0,2.747558594E0,4.120141506E0,7.568498135E0
1.303051997E0,-1.905284971E-1,2.080559254E0,1.199432278E1
1.343051997E0,2.896212816E0,4.130908966E0,1.354188061E1
1.383051997E0,4.109672904E-1,3.691527128E0,8.974879265E0
1.423051997E0,-6.756733060E-1,2.807379246E0,9.997511864E0
1.463051997E0,-1.254138112E0,2.611167669E0,1.459352589E1
1.503051997E0,-1.864906192E0,1.028913707E-1,1.104197884E1
1.543051997E0,-2.709273338E0,7.737790346E-1,1.179422283E1
1.583051997E0,-2.900998354E0,-4.755735099E-1,7.997411251E0
1.623051997E0,2.132603228E-1,9.149555564E-1,5.003093243E0
1.663051997E0,2.230110645E0,2.124826431E0,5.010271549E0
1.703051997E0,2.230110645E0,2.124826431E0,5.010271549E0
1.743051997E0,1.300887966E1,3.384946823E0,1.197757244E1
1.783051997E0,1.300887966E1,3.384946823E0,1.197757244E1
1.823051997E0,1.300887966E1,3.384946823E0,1.197757244E1
1.863051997E0,1.300887966E1,3.384946823E0,1.197757244E1
1.903051997E0,1.300887966E1,3.384946823E0,1.197757244E1
1.943051997E0,1.300887966E1,3.384946823E0,1.197757244E1
1.983051997E0,-1.472184181E0,2.730808854E-1,9.924530983E0
2.023051997E0,-1.472184181E0,2.730808854E-1,9.924530983E0
2.063051997E0,-1.472184181E0,2.730808854E-1,9.924530983E0
2.103051997E0,-1.472184181E0,2.730808854E-1,9.924530983E0
2.143051997E0,-1.472184181E0,2.730808854E-1,9.924530983E0
2.183051997E0,-1.472184181E0,2.730808854E-1,9.924530983E0
2.223051997E0,-1.472184181E0,2.730808854E-1,9.924530983E0
2.263051997E0,-1.472184181E0,2.730808854E-1,9.924530983E0
2.303051997E0,-1.472184181E0,2.730808854E-1,9.924530983E0
2.343051997E0,-1.472184181E0,2.730808854E-1,9.924530983E0
2.383051997E0,-1.472184181E0,2.730808854E-1,9.924530983E0
2.423051997E0,-1.472184181E0,2.730808854E-1,9.924530983E0
2.463051997E0,-1.472184181E0,2.730808854E-1,9.924530983E0
2.503051997E0,-1.472184181E0,2.730808854E-1,9.924530983E0
2.543051997E0,-1.472184181E0,2.730808854E-1,9.924530983E0
2.583051997E0,-1.472184181E0,2.730808854E-1,9.924530983E0
2.623051997E0,-1.472184181E0,2.730808854E-1,9.924530983E0
2.663051997E0,-1.472184181E0,2.730808854E-1,9.924530983E0
2.703051997E0,-1.472184181E0,2.730808854E-1,9.924530983E0
2.743051997E0,-1.472184181E0,2.730808854E-1,9.924530983E0
2.783051997E0,-1.472184181E0,2.730808854E-1,9.924530983E0
2.823051997E0,-1.472184181E0,2.730808854E-1,9.924530983E0
2.863051997E0,-1.472184181E0,2.730808854E-1,9.924530983E0
2.903051997E0,-1.472184181E0,2.730808854E-1,9.924530983E0
2.943051997E0,-3.275774240E0,-3.337987661E0,3.726222992E0
2.983051997E0,-1.031994534E1,-6.937391281E0,5.971887112E0
3.023051997E0,-1.042044353E1,-5.652146339E0,1.638485312E0
3.063051997E0,-1.365434361E1,-4.737190723E0,7.133901596E0
3.103051997E0,-1.035583687E1,-5.050949574E0,5.549254894E0
3.143051997E0,-1.338245869E1,-5.751448154E0,6.334998012E-1
3.183051997E0,-1.330229950E1,-5.246263504E0,1.013360381E0
3.223051997E0,-1.100369358E1,-5.752644539E0,6.647560596E0
3.263051997E0,-1.206491089E1,-3.572783232E0,9.150752068E0
3.303051997E0,-1.352154160E1,-4.243670940E0,5.094020367E0
3.343051997E0,-1.352154160E1,-4.243670940E0,5.094020367E0
3.383051997E0,-1.352154160E1,-4.243670940E0,5.094020367E0
3.423051997E0,-1.352154160E1,-4.243670940E0,5.094020367E0
3.463051997E0,-1.352154160E1,-4.243670940E0,5.094020367E0
3.503051997E0,-1.352154160E1,-4.243670940E0,5.094020367E0
3.543051997E0,-1.352154160E1,-4.243670940E0,5.094020367E0
3.583051997E0,-1.352154160E1,-4.243670940E0,5.094020367E0
3.623051997E0,-1.352154160E1,-4.243670940E0,5.094020367E0
3.663051997E0,-1.352154160E1,-4.243670940E0,5.094020367E0
3.703051997E0,-1.352154160E1,-4.243670940E0,5.094020367E0
3.743051997E0,-8.506484032E0,-2.542972326E0,1.802692771E0
3.783051997E0,-8.506484032E0,-2.542972326E0,1.802692771E0
3.823051997E0,-8.506484032E0,-2.542972326E0,1.802692771E0
3.863051997E0,-8.506484032E0,-2.542972326E0,1.802692771E0
3.903051997E0,-8.506484032E0,-2.542972326E0,1.802692771E0
3.943051997E0,-8.506484032E0,-2.542972326E0,1.802692771E0
3.983051997E0,-1.044197845E1,-6.789933205E0,4.453341961E0
4.023051997E0,-1.044197845E1,-6.789933205E0,4.453341961E0
4.063051997E0,-1.044197845E1,-6.789933205E0,4.453341961E0
4.103051997E0,-1.044197845E1,-6.789933205E0,4.453341961E0
4.143051997E0,-1.044197845E1,-6.789933205E0,4.453341961E0
4.183051997E0,-1.044197845E1,-6.789933205E0,4.453341961E0
4.223051997E0,-1.044197845E1,-6.789933205E0,4.453341961E0
4.263051997E0,-1.044197845E1,-6.789933205E0,4.453341961E0
4.303051997E0,-1.044197845E1,-6.789933205E0,4.453341961E0
4.343051997E0,-1.044197845E1,-6.789933205E0,4.453341961E0
4.383051997E0,-1.044197845E1,-6.789933205E0,4.453341961E0
4.423051997E0,-1.044197845E1,-6.789933205E0,4.453341961E0
4.463051997E0,-1.044197845E1,-6.789933205E0,4.453341961E0
4.503051997E0,-1.044197845E1,-6.789933205E0,4.453341961E0
4.543051997E0,-1.044197845E1,-6.789933205E0,4.453341961E0
4.583051997E0,-4.114159584E0,9.029914737E-1,5.573183060E0
4.623051997E0,-6.299105644E0,3.472284794E0,4.474877357E0
4.663051997E0,-5.009075165E0,-8.563314080E-1,2.054238319E0
4.703051997E0,-4.532305241E0,-3.770490170E0,4.022035599E0
4.743051997E0,-5.092823982E0,-3.984946966E0,1.837388635E0
4.783051997E0,-6.263213158E-1,-5.746662617E0,3.236292601E0
4.823051997E0,-1.226740360E1,-1.979881287E1,1.961815476E0
4.863051997E0,-6.082255840E0,-1.379103374E1,2.006082773E0
4.903051997E0,-4.710869789E0,-1.160728359E1,4.247260094E0
4.943051997E0,-6.154040813E0,-9.693324089E0,6.457031727E0
4.983051997E0,-5.831906796E0,-8.641678810E0,4.106980801E0
5.023051997E0,-5.831906796E0,-8.641678810E0,4.106980801E0
5.063051997E0,-5.831906796E0,-8.641678810E0,4.106980801E0
5.103051997E0,-5.831906796E0,-8.641678810E0,4.106980801E0
5.143051997E0,-5.831906796E0,-8.641678810E0,4.106980801E0
5.183051997E0,-5.831906796E0,-8.641678810E0,4.106980801E0
5.223051997E0,-5.831906796E0,-8.641678810E0,4.106980801E0
5.263051997E0,-5.831906796E0,-8.641678810E0,4.106980801E0
5.303051997E0,-5.831906796E0,-8.641678810E0,4.106980801E0
5.343051997E0,-5.831906796E0,-8.641678810E0,4.106980801E0
5.383051997E0,-5.831906796E0,-8.641678810E0,4.106980801E0
5.423051997E0,-5.831906796E0,-8.641678810E0,4.106980801E0
5.463051997E0,-5.831906796E0,-8.641678810E0,4.106980801E0
5.503051997E0,-5.831906796E0,-8.641678810E0,4.106980801E0
5.543051997E0,-5.831906796E0,-8.641678810E0,4.106980801E0
5.583051997E0,-5.831906796E0,-8.641678810E0,4.106980801E0
5.623051997E0,-5.831906796E0,-8.641678810E0,4.106980801E0
5.663051997E0,-5.831906796E0,-8.641678810E0,4.106980801E0
5.703051997E0,-5.831906796E0,-8.641678810E0,4.106980801E0
5.743051997E0,-5.606682777E0,-4.406383038E0,3.752544165E0
5.783051997E0,-5.606682777E0,-4.406383038E0,3.752544165E0
5.823051997E0,-5.606682777E0,-4.406383038E0,3.752544165E0
5.863051997E0,-5.606682777E0,-4.406383038E0,3.752544165E0
5.903051997E0,-5.606682777E0,-4.406383038E0,3.752544165E0
5.943051997E0,-5.606682777E0,-4.406383038E0,3.752544165E0
5.983051997E0,-5.606682777E0,-4.406383038E0,3.752544165E0
6.023051997E0,-5.606682777E0,-4.406383038E0,3.752544165E0
6.063051997E0,-5.606682777E0,-4.406383038E0,3.752544165E0
6.103051997E0,-5.606682777E0,-4.406383038E0,3.752544165E0
6.143051997E0,-5.606682777E0,-4.406383038E0,3.752544165E0
6.183051997E0,-5.606682777E0,-4.406383038E0,3.752544165E0
6.223051997E0,-5.606682777E0,-4.406383038E0,3.752544165E0
6.263051997E0,-5.885745525E0,-8.168797493E0,4.342973232E0
6.303051997E0,-7.429714203E0,-6.891927242E0,4.176671982E0
6.343051997E0,-7.846364498E0,-7.406982422E0,4.859224796E0
6.383051997E0,-7.776972771E0,-7.629814148E0,4.466502666E0
6.423051997E0,-6.982854843E0,-7.107580662E0,4.586143494E0
6.463051997E0,-6.023632050E0,-5.272584915E0,3.870988846E0
6.503051997E0,-5.448457241E0,-5.119144917E0,4.103391647E0
6.543051997E0,-4.684548378E0,-5.411368370E0,3.619742393E0
6.583051997E0,-4.971986294E0,-4.694119930E0,3.849453449E0
6.623051997E0,-3.939483404E0,-2.966800928E0,3.940679789E0
6.663051997E0,-3.939483404E0,-2.966800928E0,3.940679789E0
6.703051997E0,-3.939483404E0,-2.966800928E0,3.940679789E0
6.743051997E0,-2.182254314E0,-5.748756528E-1,4.272384644E0
6.783051997E0,-2.182254314E0,-5.748756528E-1,4.272384644E0
6.823051997E0,-2.182254314E0,-5.748756528E-1,4.272384644E0
6.863051997E0,-2.182254314E0,-5.748756528E-1,4.272384644E0
6.903051997E0,-2.182254314E0,-5.748756528E-1,4.272384644E0
6.943051997E0,-2.182254314E0,-5.748756528E-1,4.272384644E0
6.983051997E0,-9.304191589E0,-1.073779202E1,4.193421841E0
7.023051997E0,-9.304191589E0,-1.073779202E1,4.193421841E0
7.063051997E0,-9.304191589E0,-1.073779202E1,4.193421841E0
7.103051997E0,-9.304191589E0,-1.073779202E1,4.193421841E0
7.143051997E0,-9.304191589E0,-1.073779202E1,4.193421841E0
7.183051997E0,-9.304191589E0,-1.073779202E1,4.193421841E0
7.223051997E0,-9.304191589E0,-1.073779202E1,4.193421841E0
7.263051997E0,-9.304191589E0,-1.073779202E1,4.193421841E0
7.303051997E0,-9.304191589E0,-1.073779202E1,4.193421841E0
7.343051997E0,-9.304191589E0,-1.073779202E1,4.193421841E0
7.383051997E0,-9.304191589E0,-1.073779202E1,4.193421841E0
7.423051997E0,-9.304191589E0,-1.073779202E1,4.193421841E0
7.463051997E0,-9.304191589E0,-1.073779202E1,4.193421841E0
7.503051997E0,-9.304191589E0,-1.073779202E1,4.193421841E0
7.543051997E0,-9.304191589E0,-1.073779202E1,4.193421841E0
7.583051997E0,-9.304191589E0,-1.073779202E1,4.193421841E0
7.623051997E0,-9.304191589E0,-1.073779202E1,4.193421841E0
7.663051997E0,-9.304191589E0,-1.073779202E1,4.193421841E0
7.703051997E0,-9.304191589E0,-1.073779202E1,4.193421841E0
7.743051997E0,-9.304191589E0,-1.073779202E1,4.193421841E0
7.783051997E0,-9.304191589E0,-1.073779202E1,4.193421841E0
7.823051997E0,-9.304191589E0,-1.073779202E1,4.193421841E0
7.863051997E0,-9.304191589E0,-1.073779202E1,4.193421841E0
7.903051997E0,-6.525227547E0,-5.719145298E0,4.077070713E0
7.943051997E0,-7.120740891E0,-6.506084919E0,4.269991875E0
7.983051997E0,-8.433503151E0,-7.514659405E0,4.110570431E0
8.023051997E0,-8.983254433E0,-9.900602341E0,4.690530777E0
8.063051997E0,-7.947162151E0,-9.541379929E0,5.218447208E0
8.103051997E0,-8.027321815E0,-8.458627701E0,4.656732082E0
8.143051997E0,-6.715755939E0,-8.191529274E0,5.301298618E0
8.183051997E0,-5.768496990E0,-7.828418255E0,3.719044685E0
8.223051997E0,-4.757529736E0,-7.191329479E0,3.748954773E0
8.263051997E0,-4.757529736E0,-7.191329479E0,3.748954773E0
8.303051997E0,-4.757529736E0,-7.191329479E0,3.748954773E0
8.343051997E0,-4.757529736E0,-7.191329479E0,3.748954773E0
8.383051997E0,-4.757529736E0,-7.191329479E0,3.748954773E0
8.423051997E0,-4.757529736E0,-7.191329479E0,3.748954773E0
8.463051997E0,-4.757529736E0,-7.191329479E0,3.748954773E0
8.503051997E0,-7.241578579E0,-7.633403301E0,4.454538345E0
8.543051997E0,-7.241578579E0,-7.633403301E0,4.454538345E0
8.583051997E0,-7.241578579E0,-7.633403301E0,4.454538345E0
8.623051997E0,-7.241578579E0,-7.633403301E0,4.454538345E0
8.663051997E0,-7.241578579E0,-7.633403301E0,4.454538345E0
8.703051997E0,-7.241578579E0,-7.633403301E0,4.454538345E0
8.743051997E0,-2.347658157E0,5.198407173E-1,3.463909864E0
8.783051997E0,-2.347658157E0,5.198407173E-1,3.463909864E0
8.823051997E0,-2.347658157E0,5.198407173E-1,3.463909864E0
8.863051997E0,-2.347658157E0,5.198407173E-1,3.463909864E0
8.903051997E0,-2.347658157E0,5.198407173E-1,3.463909864E0
8.943051997E0,-2.347658157E0,5.198407173E-1,3.463909864E0
8.983051997E0,-2.347658157E0,5.198407173E-1,3.463909864E0
9.023051997E0,-2.347658157E0,5.198407173E-1,3.463909864E0
9.063051997E0,-2.347658157E0,5.198407173E-1,3.463909864E0
9.103051997E0,-2.347658157E0,5.198407173E-1,3.463909864E0
9.143051997E0,-2.347658157E0,5.198407173E-1,3.463909864E0
9.183051997E0,-2.347658157E0,5.198407173E-1,3.463909864E0
9.223051997E0,-2.347658157E0,5.198407173E-1,3.463909864E0
9.263051997E0,-2.347658157E0,5.198407173E-1,3.463909864E0
9.303051997E0,-2.347658157E0,5.198407173E-1,3.463909864E0
9.343051997E0,-2.347658157E0,5.198407173E-1,3.463909864E0
9.383051997E0,-2.347658157E0,5.198407173E-1,3.463909864E0
9.423051997E0,-2.347658157E0,5.198407173E-1,3.463909864E0
9.463051997E0,-2.347658157E0,5.198407173E-1,3.463909864E0
9.503051997E0,-2.347658157E0,5.198407173E-1,3.463909864E0
