"Time (s)","X (µT)","Y (µT)","Z (µT)"
4.600412500E-2,2.980247498E0,-1.474373436E1,-3.954465485E1
8.573512500E-2,-9.294891357E-2,-1.399329567E1,-3.959374237E1
1.254661250E-1,-8.758544922E-1,-1.418271828E1,-3.968019867E1
1.651971250E-1,-1.482025146E0,-1.377977562E1,-3.960231781E1
2.049281250E-1,-1.477767944E0,-1.073435020E1,-4.009188080E1
2.446591250E-1,-2.309062958E0,-8.827398300E0,-4.079347992E1
2.843901250E-1,-2.232612610E0,-9.537565231E0,-4.061531830E1
3.241211250E-1,1.304992676E0,-1.001168633E1,-4.044741058E1
3.638521250E-1,5.711174011E0,-1.153079796E1,-3.943518829E1
4.035831250E-1,8.929733276E0,-1.232655907E1,-3.836090851E1
4.433141250E-1,7.983360291E0,-1.389343834E1,-3.816408539E1
4.830451250E-1,6.057781219E0,-1.617011833E1,-3.805216217E1
5.227761250E-1,3.109054565E0,-1.627588081E1,-3.843811798E1
5.625071667E-1,2.989242554E0,-1.448780632E1,-3.972937775E1
6.022381667E-1,2.588184357E0,-9.027601242E0,-4.170404816E1
6.419691667E-1,-9.302902222E-2,-4.851608276E-1,-4.316812897E1
6.817001667E-1,-4.054653168E0,8.828145981E0,-4.222415924E1
7.214311667E-1,-5.052059174E0,1.857947922E1,-3.881000519E1
7.611621667E-1,-1.000564575E0,2.787820053E1,-3.313869476E1
8.008931667E-1,5.089088440E0,3.445986938E1,-2.579520416E1
8.406241667E-1,1.228061676E1,3.663968658E1,-1.941144562E1
8.803551666E-1,1.824259949E1,3.602696228E1,-1.502256012E1
9.200861667E-1,1.962781525E1,3.594816208E1,-1.341413116E1
9.598171667E-1,2.070126343E1,3.580861282E1,-1.214062500E1
9.995481667E-1,2.328639221E1,3.461802673E1,-1.041156006E1
1.039279167E0,2.829363251E1,3.120177269E1,-7.809402466E0
1.079010167E0,3.188521576E1,2.683353806E1,-9.520088196E0
1.118741167E0,3.062877655E1,2.514221382E1,-1.575855255E1
1.158472167E0,2.877407074E1,2.382742691E1,-2.034738922E1
1.198203167E0,2.951439667E1,2.304679489E1,-2.024201202E1
1.237934167E0,3.002762604E1,2.212833023E1,-2.054781342E1
1.277665167E0,3.005469513E1,2.232642746E1,-2.024056244E1
1.317396167E0,2.942768860E1,2.493206215E1,-1.844745636E1
1.357127167E0,2.767404175E1,2.938744926E1,-1.417621613E1
1.396858167E0,2.772322845E1,3.087275314E1,-1.108422089E1
1.436589167E0,3.036900330E1,2.981640625E1,-4.875686646E0
1.476320167E0,3.213114166E1,2.874904251E1,2.279342651E0
1.516051167E0,3.267002106E1,2.815507889E1,2.677543640E0
1.555782250E0,3.154382324E1,2.936104584E1,2.755844116E0
1.595513250E0,3.166859436E1,2.909696579E1,2.498191833E0
1.635245250E0,3.302113342E1,2.745945168E1,-6.961135864E-1
1.674976250E0,3.518757629E1,2.429901314E1,-2.639297485E0
1.714707250E0,3.521499634E1,2.373331642E1,-5.591979980E0
1.754438250E0,3.482698822E1,2.357345772E1,-7.429817200E0
1.794169250E0,3.498904419E1,2.275231361E1,-8.544509888E0
1.833900250E0,3.491722870E1,2.207139587E1,-1.052634430E1
1.873631250E0,3.250279236E1,2.344869804E1,-1.429744720E1
1.913362250E0,3.037152863E1,2.502163315E1,-1.583843231E1
1.953093250E0,2.724510956E1,2.777540016E1,-1.736667633E1
1.992824250E0,2.214028931E1,3.034500504E1,-2.020452118E1
2.032555250E0,1.359149170E1,3.158921242E1,-2.548368073E1
2.072286250E0,9.827972412E0,3.236228180E1,-2.635753632E1
2.112017250E0,8.981811523E0,3.407431793E1,-2.472963715E1
2.151749250E0,8.154060364E0,3.809445572E1,-1.886547089E1
2.191480250E0,9.219711304E0,4.023800659E1,-1.390387726E1
2.231211250E0,8.950843811E0,4.015810394E1,-1.423898315E1
2.270942250E0,3.885322571E0,4.085174561E1,-1.532280731E1
2.310673250E0,-6.690277100E0,4.043424988E1,-1.643737030E1
2.350404250E0,-1.826527023E1,3.678408432E1,-1.775084686E1
2.390135250E0,-2.566777420E1,3.347844696E1,-1.571663666E1
2.429866250E0,-2.397675323E1,3.558343506E1,-1.398006439E1
2.469597250E0,-2.073194885E1,3.725063324E1,-1.370838165E1
2.509329250E0,-1.975823593E1,3.810379791E1,-1.238774109E1
2.549059917E0,-2.002528381E1,3.721923828E1,-1.482218170E1
2.588790917E0,-1.917423630E1,3.629338837E1,-1.724887848E1
2.628521917E0,-1.625323486E1,3.534864426E1,-2.091461945E1
2.668252917E0,-1.425983810E1,3.473771667E1,-2.274767303E1
2.707983917E0,-1.253272629E1,3.359336090E1,-2.503728485E1
2.747714917E0,-1.139522934E1,3.351005936E1,-2.553455353E1
2.787446917E0,-1.096667480E1,3.396345139E1,-2.525354767E1
2.827177917E0,-1.164628983E1,3.393165970E1,-2.488442230E1
2.866908917E0,-1.308155060E1,3.374036789E1,-2.499358368E1
2.906639917E0,-1.514861679E1,3.380522919E1,-2.397296906E1
2.946370917E0,-1.744038391E1,3.413860703E1,-2.200807953E1
2.986101917E0,-1.841558838E1,3.386135483E1,-2.218158722E1
3.025833917E0,-1.918875885E1,3.283671188E1,-2.284969330E1
3.065564917E0,-2.114950562E1,3.198895264E1,-2.237053680E1
3.105295917E0,-2.305237198E1,3.107028961E1,-2.230925751E1
3.145026917E0,-2.516178703E1,3.033200645E1,-2.098192596E1
3.184757917E0,-2.364249802E1,3.150851440E1,-2.039957428E1
3.224488917E0,-2.347765350E1,3.291484833E1,-1.899552155E1
3.264220917E0,-2.426718903E1,3.250703812E1,-1.899083710E1
3.303951917E0,-2.442506981E1,3.228763199E1,-1.896999359E1
3.343682917E0,-2.429327774E1,3.254396820E1,-1.833158112E1
3.383413917E0,-2.398351288E1,3.279856491E1,-1.877379608E1
3.423144917E0,-2.448570061E1,3.283345795E1,-1.847370148E1
3.462876917E0,-2.489904404E1,3.252543640E1,-1.864832306E1
3.502607917E0,-2.563662720E1,3.220241165E1,-1.795008087E1
3.542339500E0,-2.618621826E1,3.177443695E1,-1.799613190E1
3.582070500E0,-2.637631798E1,3.179656601E1,-1.783795929E1
3.621801500E0,-2.635089874E1,3.209434891E1,-1.788893890E1
3.661533500E0,-2.596490479E1,3.204064560E1,-1.771578217E1
3.701264500E0,-2.553768921E1,3.237252426E1,-1.749658966E1
3.740995500E0,-2.511991501E1,3.258173752E1,-1.724776459E1
3.780726500E0,-2.525317192E1,3.254359818E1,-1.704164886E1
3.820457500E0,-2.580855370E1,3.240972137E1,-1.715410614E1
3.860189500E0,-2.638566589E1,3.209584045E1,-1.729166412E1
3.899920500E0,-2.655742264E1,3.170611191E1,-1.750856781E1
3.939651500E0,-2.685861015E1,3.155531120E1,-1.739347076E1
3.979382500E0,-2.705725288E1,3.123178864E1,-1.761215973E1
4.019114500E0,-2.725819397E1,3.105594826E1,-1.756819916E1
4.058845500E0,-2.715241623E1,3.109462166E1,-1.762548065E1
4.098576500E0,-2.730749893E1,3.092119598E1,-1.764908600E1
4.138307500E0,-2.734157181E1,3.097311401E1,-1.761264801E1
4.178039500E0,-2.691372871E1,3.080533218E1,-1.825640106E1
4.217770500E0,-2.681796837E1,3.076274300E1,-1.836266327E1
4.257501500E0,-2.673766518E1,3.066559982E1,-1.863730621E1
4.297232500E0,-2.668146706E1,3.068181229E1,-1.879210663E1
4.336964500E0,-2.653872871E1,3.051958847E1,-1.893099213E1
4.376695500E0,-2.649868774E1,3.073129654E1,-1.853827667E1
4.416426500E0,-2.643251228E1,3.047195053E1,-1.879756927E1
4.456158500E0,-2.658430290E1,3.044026947E1,-1.881696320E1
4.495889500E0,-2.667680931E1,3.039639282E1,-1.897277069E1
4.535620500E0,-2.649230957E1,3.071969032E1,-1.877779388E1
4.575351500E0,-2.640046501E1,3.051604843E1,-1.886879730E1
4.615083500E0,-2.645820999E1,3.078458023E1,-1.875722504E1
4.654814500E0,-2.663293839E1,3.089414978E1,-1.848775482E1
4.694545500E0,-2.667318916E1,3.084132957E1,-1.864620209E1
4.734277500E0,-2.682010841E1,3.065021706E1,-1.852234650E1
4.774008500E0,-2.694915199E1,3.024667358E1,-1.922043610E1
4.813739500E0,-2.686619377E1,2.999412537E1,-1.951433563E1
4.853471500E0,-2.687804031E1,3.003077507E1,-1.968926239E1
4.893202500E0,-2.656381798E1,2.977271652E1,-2.014119720E1
4.932933500E0,-2.673202324E1,2.949113083E1,-2.023358917E1
4.972665500E0,-2.709912109E1,2.895963860E1,-2.056563568E1
5.012396500E0,-2.760214996E1,2.849009323E1,-2.074643707E1
5.052127500E0,-2.790702248E1,2.782223892E1,-2.096701813E1
5.091859500E0,-2.859994507E1,2.698807335E1,-2.111791229E1
5.131590500E0,-2.943574905E1,2.635128593E1,-2.113793182E1
5.171321500E0,-3.077230835E1,2.510496330E1,-2.086240387E1
5.211052500E0,-3.266115189E1,2.352668571E1,-1.966060638E1
5.250784500E0,-3.462614441E1,2.234745979E1,-1.833715057E1
5.290515500E0,-3.592845154E1,2.130078316E1,-1.717049408E1
5.330247500E0,-3.690823364E1,2.063875771E1,-1.609870148E1
5.369978500E0,-3.777982330E1,1.959142876E1,-1.542953491E1
5.409709500E0,-3.868701172E1,1.839199638E1,-1.444932556E1
5.449441500E0,-3.902973938E1,1.779565239E1,-1.464039612E1
5.489172500E0,-3.851821899E1,1.733128548E1,-1.599169159E1
5.528903500E0,-3.729584503E1,1.680398750E1,-1.894293976E1
5.568634875E0,-3.522363281E1,1.736932564E1,-2.203473663E1
5.608365875E0,-3.411978149E1,1.803803635E1,-2.302352142E1
5.648096875E0,-3.451963806E1,1.849545479E1,-2.210289764E1
5.687828875E0,-3.540553284E1,1.949900818E1,-2.028112030E1
5.727559875E0,-3.504606628E1,2.162230873E1,-1.912453461E1
5.767290875E0,-3.571104431E1,2.306553650E1,-1.689835358E1
5.807022875E0,-3.569743347E1,2.432454872E1,-1.529009247E1
5.846753875E0,-3.570478821E1,2.553209114E1,-1.370954132E1
5.886484875E0,-3.582259369E1,2.613571167E1,-1.221173859E1
5.926216875E0,-3.646144485E1,2.631426239E1,-1.036894226E1
5.965947875E0,-3.764723206E1,2.582755470E1,-8.298110962E0
6.005679875E0,-3.853028107E1,2.507921982E1,-7.629364014E0
6.045410875E0,-3.781317139E1,2.584435081E1,-8.751640320E0
6.085141875E0,-3.623515320E1,2.686385536E1,-1.095687866E1
6.124873875E0,-3.544846344E1,2.719519806E1,-1.271332550E1
6.164604875E0,-3.680173492E1,2.615371704E1,-1.124091339E1
6.204336875E0,-4.043331146E1,2.293457413E1,-6.158233643E0
6.244067875E0,-4.247880936E1,1.986122704E1,-5.560913086E-1
6.283798875E0,-4.301090240E1,1.868982315E1,6.133384705E0
6.323530875E0,-4.319874573E1,1.689352798E1,8.874519348E0
6.363261875E0,-4.325484085E1,1.722467422E1,9.256301880E0
6.402993875E0,-4.341028976E1,1.766273499E1,6.898170471E0
6.442724875E0,-4.275872803E1,1.776621246E1,9.686882019E0
6.482455875E0,-4.215957260E1,1.686381531E1,1.468971252E1
6.522187875E0,-4.120195007E1,1.523774910E1,1.859252930E1
6.561919167E0,-4.247556305E1,1.451353931E1,1.630215454E1
6.601650167E0,-4.399126816E1,1.438921165E1,1.170423889E1
6.641382167E0,-4.426239777E1,1.763440704E1,4.643516541E0
6.681113167E0,-4.267862701E1,2.169036293E1,2.922058105E-2
6.720845167E0,-4.204379272E1,2.293089485E1,-8.553085327E-1
6.760576167E0,-4.111023331E1,2.379486275E1,-4.744331360E0
6.800308167E0,-3.888925934E1,2.675978279E1,-8.558860779E0
6.840039167E0,-3.817690277E1,2.811378670E1,-7.416336060E0
6.879770167E0,-3.759674454E1,2.884165192E1,-7.714164734E0
6.919502167E0,-3.657063675E1,2.982299995E1,-8.684547424E0
6.959233167E0,-3.632669830E1,3.089746094E1,-7.367134094E0
6.998965167E0,-3.737869644E1,3.057670975E1,-3.587814331E0
7.038696167E0,-3.911364746E1,2.881666183E1,8.203125000E-1
7.078427167E0,-3.903160477E1,2.910353470E1,7.431793213E-1
7.118159167E0,-3.747460556E1,3.137635231E1,-4.124450684E-1
7.157890167E0,-3.808471680E1,3.082948685E1,-1.253356934E0
7.197622167E0,-3.915556335E1,2.947772217E1,1.198829651E0
7.237353167E0,-3.902153778E1,2.961864090E1,3.493835449E0
7.277085167E0,-4.039417267E1,2.763687515E1,6.652267456E0
7.316816167E0,-4.012152100E1,2.687633133E1,1.123444366E1
7.356547167E0,-4.035320282E1,2.622068596E1,1.087603760E1
7.396279167E0,-4.080260086E1,2.545788383E1,1.210254669E1
7.436010167E0,-4.088410568E1,2.399016571E1,1.425559998E1
7.475742167E0,-4.153416443E1,2.216132545E1,1.512842560E1
7.515473167E0,-4.177321243E1,1.999158478E1,1.721186066E1
7.555204875E0,-4.210264206E1,1.839274025E1,1.853118896E1
7.594935875E0,-4.234620667E1,1.818168449E1,1.863722229E1
7.634666875E0,-4.274161911E1,1.855605316E1,1.744931030E1
7.674398875E0,-4.372621536E1,2.044104004E1,1.263957214E1
7.714129875E0,-4.255911255E1,2.513815689E1,6.599205017E0
7.753861875E0,-3.994428253E1,2.982978821E1,2.290283203E0
7.793592875E0,-3.880067825E1,3.142688751E1,1.093513489E0
7.833324875E0,-3.651441956E1,3.332981110E1,-5.700347900E0
7.873055875E0,-3.435030365E1,3.505364227E1,-7.222503662E0
7.912787875E0,-3.345099640E1,3.601128387E1,-7.074150085E0
7.952518875E0,-3.282266617E1,3.648172760E1,-8.190895081E0
7.992250875E0,-3.273119354E1,3.684140778E1,-8.113265991E0
8.031981875E0,-3.358432770E1,3.692604828E1,-4.101966858E0
8.071712875E0,-3.500485229E1,3.603447723E1,3.356575012E0
8.111444875E0,-3.585565567E1,3.559234238E1,1.761016846E0
8.151175875E0,-3.530902863E1,3.634008789E1,-5.380249023E-2
8.190907875E0,-3.420510864E1,3.760676575E1,1.743644714E0
8.230638875E0,-3.435379791E1,3.702145386E1,4.253776550E0
8.270370875E0,-3.429985046E1,3.704309845E1,5.714576721E0
8.310101875E0,-3.351236725E1,3.752248383E1,6.254676819E0
8.349833875E0,-3.460431671E1,3.652429581E1,6.579689026E0
8.389564875E0,-3.457959366E1,3.676014328E1,7.031463623E0
8.429296875E0,-3.415371704E1,3.653606415E1,9.070724487E0
8.469027875E0,-3.405281830E1,3.649460602E1,1.034631348E1
8.508759875E0,-3.362139130E1,3.662922668E1,1.140721893E1
8.548491625E0,-3.299067307E1,3.665311813E1,1.328775024E1
8.588223625E0,-3.221794128E1,3.683393860E1,1.483341217E1
8.627954625E0,-3.143128014E1,3.691174316E1,1.621680450E1
8.667686625E0,-3.122686195E1,3.696601105E1,1.675379944E1
8.707417625E0,-3.103489685E1,3.700677109E1,1.679723358E1
8.747149625E0,-3.075213051E1,3.729006958E1,1.661648560E1
8.786880625E0,-3.059019279E1,3.764218140E1,1.637714386E1
