"event","experiment time","system time","system time text"
"START",0.000000000000000E0,1.718106985359550E9,"2024-06-11 13:56:25.360 UTC+02:00"
"PAUSE",2.750290795832989E2,1.718107260341542E9,"2024-06-11 14:01:00.342 UTC+02:00"
