"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
3.118755667E0,-1.982105374E-1,-9.129745364E-1,1.838599294E-1
3.159051667E0,4.011977613E-1,-6.623490453E-1,3.921883404E-1
3.199347667E0,5.633697510E-1,-7.143129408E-2,4.163843393E-1
3.239643667E0,1.092532277E0,2.894817591E-1,6.392421722E-1
3.279939667E0,6.729959846E-1,5.519986153E-1,4.564009011E-1
3.320235667E0,3.738201261E-1,-3.057453632E-1,2.268126160E-1
3.360531667E0,-7.291892767E-1,-8.629394770E-1,-4.520601034E-1
3.400827667E0,-1.792794019E-1,-4.396273196E-2,-3.902315348E-2
3.441123667E0,-1.575485319E-1,1.693271697E-1,1.782286644E0
3.481419667E0,2.251668274E-1,-8.690046519E-2,4.091928154E-2
3.521715667E0,2.013019562E0,-1.935294032E0,4.802999198E-1
3.562011667E0,1.782625318E0,-2.386092991E-1,3.037151575E0
3.602307667E0,1.958250761E0,7.310354114E-1,5.259033203E0
3.642603667E0,1.887918472E0,1.155499578E0,5.012984276E0
3.682899667E0,1.143628731E-1,-3.897097111E0,1.461414337E0
3.723194542E0,1.300700188E0,2.361670732E0,8.813003898E-1
3.763491542E0,1.281549335E0,3.039683104E0,-5.201337859E-2
3.803787542E0,9.944217801E-1,3.951536492E-2,3.429699838E-1
3.844083542E0,1.204112649E0,7.943347842E-2,2.280572951E-1
3.884379542E0,1.634043217E0,1.101626396E0,1.633529961E-1
3.924675542E0,6.971704960E-1,7.242316604E-1,1.406372637E-1
3.964971542E0,2.093276232E-1,8.716706634E-1,1.334938034E-2
4.005267542E0,-5.733388662E-1,2.310523510E0,7.189719379E-2
4.045563542E0,-7.042348385E-1,6.587134600E-1,-1.396627873E-1
4.085860542E0,-1.620573163E0,-1.047297478E0,-5.760148764E-1
4.126156542E0,-3.027307034E0,-1.016736865E0,-6.135003567E-1
4.166452542E0,-2.169965267E0,-2.156290293E0,-1.164675727E-1
4.206748542E0,-2.989144325E0,-2.371362448E-1,5.427204967E-1
4.247044542E0,-2.717949152E0,1.182254910E0,1.854646444E0
4.287341542E0,-2.934216738E0,-6.833504438E-1,-1.770079136E-1
4.327637542E0,-1.510844111E0,5.994267464E-1,3.659291863E-1
4.367933542E0,-7.154729366E-1,-2.589759827E-1,-4.538514316E-1
4.408229542E0,-1.529027075E-1,-8.794359565E-1,-6.541271806E-1
4.448525542E0,8.824875355E-1,-8.840768933E-1,-4.029731154E-1
4.488822542E0,1.641204238E0,-6.477946639E-1,-1.982474476E-1
4.529118542E0,1.002527118E0,-2.536501884E0,-3.053525984E-1
4.569414542E0,-3.015844226E-1,-1.292344928E0,-3.682545125E-1
4.609711542E0,-7.839555740E-1,-1.149701327E-1,-2.822421193E-1
4.650007542E0,-5.225198865E-1,-5.002276301E-1,-7.983564585E-2
4.690303542E0,-1.385857463E-1,-1.141617894E0,5.075684786E-1
4.730600625E0,6.315717101E-1,-3.186910152E-1,7.328704000E-1
4.770897625E0,1.722110391E0,8.233333230E-1,4.457844198E-1
4.811193625E0,2.041337967E0,4.287945926E-1,-4.139003754E-1
4.851489625E0,6.815878749E-1,5.608304590E-2,-1.026840329E0
4.891786625E0,1.682749748E0,-1.357021570E0,1.967757568E-2
