Time (s),Latitude (°),Longitude (°),Height (m),Velocity (m/s),Direction (°),Horizontal Accuracy (m),Vertical Accuracy (m),Datetime
11.15969658,52.331236,4.8522696,5.859556131,,,12.49100018,1.106640339,2024-06-11 14:17:18.159697
31.23269658,52.331226,4.8522928,5.959553827,,,11.52499962,1.0,2024-06-11 14:17:38.232697
51.24269658,52.3312136,4.8522718,5.859525942,,,11.56499958,1.0,2024-06-11 14:17:58.242697
71.24769658,52.3312111,4.8522796,5.859526891,,,12.04100037,1.0,2024-06-11 14:18:18.247697
91.25669658,52.3311999,4.8522554,5.859497336,,,15.28499985,1.121616483,2024-06-11 14:18:38.256697
111.2606966,52.3312005,4.8522289,5.659482269,,,15.44900036,1.254067659,2024-06-11 14:18:58.260697
131.2776966,52.3312115,4.8522716,5.85952288,,,12.8210001,1.0,2024-06-11 14:19:18.277697
151.2956966,52.3311744,4.8522632,5.859465995,,,17.78199959,1.15255332,2024-06-11 14:19:38.295697
171.3076966,52.3312127,4.8522896,5.859534853,,,12.81200027,1.0,2024-06-11 14:19:58.307697
191.3246966,52.331229,4.8522926,5.85955945,,,11.5170002,1.0,2024-06-11 14:20:18.324697
211.3026966,52.3312048,4.8522813,5.859519018,,,11.54399967,1.001508713,2024-06-11 14:20:38.302697
231.3346966,52.3312149,4.8522789,5.859531825,,,11.86699963,1.0,2024-06-11 14:20:58.334697
251.3236966,52.3312191,4.8522774,5.859536864,,,11.50599957,1.319889069,2024-06-11 14:21:18.323697
271.3866966,52.3312264,4.8522876,5.859552943,,,11.5010004,1.001680613,2024-06-11 14:21:38.386697
291.4786966,52.3312316,4.8522743,5.859552641,,,11.52900028,1.0,2024-06-11 14:21:58.478697
311.4536966,52.3312329,4.8523007,5.859569555,,,12.60000038,1.0,2024-06-11 14:22:18.453697
331.4676966,52.3312219,4.8522799,5.959540698,,,11.47599983,1.0,2024-06-11 14:22:38.467697
351.4816966,52.3312028,4.8522718,5.859510781,,,11.53299999,1.0,2024-06-11 14:22:58.481697
371.4866966,52.3312205,4.8522838,6.059543251,,,11.53600025,1.0,2024-06-11 14:23:18.486697
