Time (s),Latitude (°),Longitude (°),Height (m),Velocity (m/s),Direction (°),Horizontal Accuracy (m),Vertical Accuracy (m),Datetime
42.97064238,52.3348932,4.86891451,5.429609743,4.070000172,88.30000305,3.982371092,5.282806396,2024-06-04 14:56:35.970642
43.96983998,52.33489382,4.8689827,5.785667709,3.930000067,90.30000305,3.840511799,4.921944618,2024-06-04 14:56:36.969840
44.97061207,52.33489638,4.86904379,5.060730688,3.660000086,85.30000305,3.790092468,4.431783199,2024-06-04 14:56:37.970612
45.97064602,52.3349055,4.86909612,4.854596714,3.25,72.5,3.790092468,4.165284157,2024-06-04 14:56:38.970646
46.97078691,52.33491385,4.86913951,4.354083982,3.210000038,71.0,3.790092468,4.000196457,2024-06-04 14:56:39.970787
47.97610691,52.33492813,4.86918125,4.411623084,3.5,63.5,3.881978273,4.156116486,2024-06-04 14:56:40.976107
48.97095436,52.33495135,4.86921025,2.933522946,3.420000076,46.29999924,3.790092468,4.252686977,2024-06-04 14:56:41.970954
49.97114128,52.33494766,4.86920754,2.709334073,0.0,,3.790092468,3.850012064,2024-06-04 14:56:42.971141
50.97636618,52.33494808,4.86920396,1.840802341,0.2899999917,29.5,3.790092468,3.858976126,2024-06-04 14:56:43.976366
51.97255279,52.33494704,4.86920005,1.861672663,0.0,,3.790092468,3.569251299,2024-06-04 14:56:44.972553
52.97904472,52.33494529,4.86919908,1.945592985,0.0,,3.790092468,3.455298424,2024-06-04 14:56:45.979045
53.98075284,52.33494378,4.86919811,1.947299289,0.0,,3.790092468,3.50996685,2024-06-04 14:56:46.980753
54.97143243,52.33494333,4.86919781,1.948702293,0.0,,3.790092468,3.481595755,2024-06-04 14:56:47.971432
55.97659701,52.33494319,4.86919769,1.940401246,0.0,,3.790092468,3.441638231,2024-06-04 14:56:48.976597
56.97258441,52.3349431,4.86919763,1.948457726,0.0,,3.790092468,3.397026062,2024-06-04 14:56:49.972584
57.97012513,52.33494308,4.86919759,1.948030429,0.0,,3.790092468,3.280693054,2024-06-04 14:56:50.970125
58.96967888,52.33494245,4.86919643,1.703033761,0.0,,3.790092468,3.211870909,2024-06-04 14:56:51.969679
59.97463118,52.33494208,4.86919705,1.555328517,0.0,,3.790092468,3.247233391,2024-06-04 14:56:52.974631
60.97315722,52.33494197,4.86919717,1.558685364,0.0,,3.790092468,3.270761251,2024-06-04 14:56:53.973157
61.9778318,52.33494287,4.86919989,1.611666703,0.3700000048,41.0,3.790092468,3.103627205,2024-06-04 14:56:54.977832
62.97179503,52.33495094,4.86920574,1.570177502,1.110000014,18.5,3.790092468,3.10845089,2024-06-04 14:56:55.971795
63.97436446,52.3349662,4.86921072,2.515941574,1.75,13.19999981,3.790092468,3.234781981,2024-06-04 14:56:56.974364
64.97700961,52.33498982,4.8692111,2.378829036,2.680000067,2.900000095,3.790092468,3.339933872,2024-06-04 14:56:57.977010
65.97396935,52.33502035,4.86920357,2.219321794,3.269999981,358.3999939,9.935046196,3.411743641,2024-06-04 14:56:58.973969
66.97071555,52.33505279,4.86919757,1.882633056,3.420000076,359.2000122,9.935046196,3.394331455,2024-06-04 14:56:59.970716
