"event","experiment time","system time","system time text"
"START",0.000000000E0,1717609470.008,"2024-06-05 19:44:30.008 UTC+02:00"
"PAUSE",1.223184503E2,1717609592.326,"2024-06-05 19:46:32.326 UTC+02:00"
