"event","experiment time","system time","system time text"
"START",0.000000000E0,1718109435.584,"2024-06-11 14:37:15.584 UTC+02:00"
"PAUSE",3.013118546E2,1718109736.896,"2024-06-11 14:42:16.896 UTC+02:00"
