"event","experiment time","system time","system time text"
"START",0.000000000000000E0,1.717581849866096E9,"2024-06-05 12:04:09.866 UTC+02:00"
"PAUSE",3.387260877916706E2,1.717582188590480E9,"2024-06-05 12:09:48.590 UTC+02:00"
