"event","experiment time","system time","system time text"
"START",0.000000000E0,1717504874.228,"2024-06-04 14:41:14.228 UTC+02:00"
"PAUSE",1.407785028E2,1717505015.006,"2024-06-04 14:43:35.006 UTC+02:00"
