"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
3.596424917E0,-5.262241960E-1,-7.674610019E-1,-1.866225898E-1
3.636161917E0,-3.023016751E-1,3.367523849E-1,1.986335032E-2
3.675897917E0,-1.203280874E-3,1.099300504E0,1.092331260E-1
3.715634917E0,1.032002211E0,1.400114536E0,2.026621550E-1
3.755370917E0,1.962725520E0,-5.266053081E-1,7.590895295E-1
3.795107917E0,2.738401413E0,-1.247279525E0,5.142374635E-1
3.834843917E0,1.110531211E0,2.346240044E0,3.785967231E-1
3.874580917E0,1.178219914E0,3.468369722E0,1.232638717E0
3.914316917E0,1.593299150E0,1.412865043E0,1.073334813E0
3.954053917E0,-3.989011049E-1,-3.555053473E0,1.172895670E0
3.993789917E0,-8.659290671E-1,-1.332745314E0,1.536018252E0
4.033526917E0,-6.821681857E-1,-1.723458767E0,6.604707837E-1
4.073262917E0,2.619321644E-1,-1.624891400E0,1.314794719E-1
4.112999917E0,3.091554940E-1,-2.021896839E0,-7.209740877E-1
4.152735917E0,-1.878271401E-1,-2.033789158E0,-1.058488607E0
4.192472917E0,1.216852307E0,-1.849107027E0,-3.946174085E-1
4.232208917E0,4.363588393E-1,-2.749332190E0,1.015470982E0
4.271945917E0,-5.538216829E-1,2.421830177E0,2.322784901E0
4.311681917E0,-9.728919864E-1,2.904045582E0,1.096714497E0
4.351418917E0,-1.775256842E-1,-1.800999165E0,-1.738951921E0
4.391154917E0,1.080064178E0,-3.330465317E0,-5.317102671E-1
4.430891917E0,9.957647920E-1,-1.594977021E0,-2.247827351E-1
4.470627917E0,-1.069862962E0,-1.105288148E0,-1.418855339E-1
4.510364917E0,-6.310965866E-2,2.169868946E0,2.760364711E-1
4.550101000E0,6.590561867E-1,9.858744740E-1,-3.133502603E-1
4.589838000E0,2.692710161E-1,2.298572659E-1,-6.558290124E-1
4.629574000E0,-1.182995811E-1,1.083584428E0,-5.019022226E-1
4.669311000E0,8.479363471E-2,1.886757255E0,-2.055451572E-1
4.709047000E0,-2.756750584E-1,1.802916884E0,-2.705440223E-1
4.748784000E0,3.268627226E-1,3.174229383E0,-2.602692842E-1
4.788520000E0,2.722622752E-1,1.947828174E0,-1.905332953E-1
4.828257000E0,5.586966872E-1,6.613659859E-1,-5.409826040E-1
4.867993000E0,7.603484392E-1,1.461829662E0,-2.960316539E-1
4.907730000E0,5.038924217E-1,2.044301510E0,7.237258554E-2
4.947466000E0,6.081429124E-1,5.099586248E-1,-7.501553744E-2
4.987203000E0,6.502113938E-1,2.282609940E-1,-5.152436905E-3
5.026939000E0,4.028029442E-1,-8.295553923E-1,-9.076666832E-2
5.066676000E0,3.729111254E-1,-1.189931989E0,-2.905530930E-1
5.106412000E0,1.520898193E-1,-1.451373458E0,-4.571694434E-1
5.146149000E0,-5.994692445E-1,-6.760256886E-1,-1.457006484E-1
5.185885000E0,-4.260423481E-1,1.757116020E-1,-1.134368498E-2
5.225622000E0,-2.127465755E-1,3.314337730E-1,-1.395210475E-1
5.265358000E0,-4.613690674E-1,7.000470757E-1,-1.439793110E-1
5.305095000E0,-6.216669679E-1,5.290560126E-1,-1.008242518E-1
5.344831000E0,-3.670501411E-1,-5.732933879E-1,-1.948483754E-3
5.384568000E0,-3.655136228E-1,-1.644068122E0,-5.809034407E-2
5.424304000E0,3.258725405E-1,-7.134234905E-1,1.732184589E-1
5.464041000E0,3.854809701E-1,-3.436369002E-1,3.118073344E-1
5.503777000E0,9.126703143E-1,3.280173242E-1,4.744318724E-1
5.543514250E0,7.721858621E-1,-1.905452847E0,3.203139603E-1
5.583250250E0,1.401617527E0,-1.738211393E0,3.866603673E-1
5.622987250E0,4.047297239E-1,-2.432580948E0,3.009459078E-1
5.662723250E0,4.377664924E-1,6.445834637E-1,1.883562505E-1
5.702460250E0,3.976722062E-1,9.808489084E-1,7.567425370E-1
5.742196250E0,7.562264800E-2,1.141889572E0,1.528322577E0
5.781933250E0,1.100795031E0,-7.748147845E-1,5.736021996E-1
5.821669250E0,6.992899776E-1,-2.383938313E0,-2.540610433E-1
5.861406250E0,1.485656202E-1,-2.801731586E0,-7.608896494E-1
5.901142250E0,-2.208595753E0,-2.618781567E0,1.129036248E-1
5.940879250E0,-1.518455148E0,-1.756136298E0,2.824168682E0
5.980615250E0,-1.993942708E-1,2.676233053E0,3.397744894E0
6.020351250E0,-8.170893788E-2,-1.953650832E0,-6.375374198E-1
6.060088250E0,-1.415158868E0,-1.327802062E0,-2.214106321E0
6.099824250E0,-4.343216419E-1,1.920578480E-1,1.048084736E0
6.139561250E0,-6.953621507E-1,2.435509712E-1,1.411776662E0
6.179297250E0,-8.059898615E-1,1.452841282E0,2.461750269E0
6.219034250E0,6.065534353E-1,-1.394352198E0,2.906270027E0
6.258770250E0,-2.808728814E-1,-9.078871727E0,-6.232304871E-2
6.298507250E0,-1.336610913E0,-2.352736950E0,-2.056666374E0
6.338243250E0,2.150881529E0,1.947600842E0,-2.120385647E0
6.377980250E0,-9.780163169E-1,9.070058912E-2,-1.892794490E0
6.417716250E0,6.208492517E-1,1.444461107E0,2.344145626E-1
6.457452250E0,1.945120841E-1,1.481576920E0,1.478122175E-1
6.497189250E0,-5.682511926E-1,6.805669069E-1,1.087240130E-1
6.536925250E0,-2.773080766E-1,7.758948207E-1,2.372810841E-1
6.576661917E0,-5.851408839E-2,1.675587416E0,8.201426268E-1
6.616397917E0,1.390766650E-1,1.271254420E0,1.217359662E0
6.656134917E0,1.346723437E0,2.932040691E0,1.581469655E0
6.695870917E0,-2.469537258E-1,8.455880880E-1,-1.476164609E-1
6.735606917E0,1.779133677E-1,1.314656019E0,1.841581464E-1
6.775343917E0,9.228592515E-1,8.048744202E-1,1.293148398E-1
6.815079917E0,-7.528614998E-2,8.368379474E-1,-2.000805587E-1
6.854816917E0,-1.342414916E-1,1.300865412E0,-9.162344337E-1
6.894552917E0,5.760422945E-1,1.465865254E0,-7.824818492E-1
6.934288917E0,5.268785357E-1,1.749909520E0,-5.072886944E-1
6.974025917E0,7.437740564E-1,1.229442358E0,-9.261629581E-1
7.013761917E0,7.612167001E-1,-5.427638888E-1,-1.334694862E0
7.053498917E0,2.802693844E-1,-1.668223739E0,-1.015139461E0
7.093234917E0,-1.497619033E0,-1.793263435E0,-1.061607361E0
7.132971917E0,-2.574715376E0,-2.904181480E-1,-1.681314707E0
7.172707917E0,-3.387538195E0,6.853646040E-1,-1.851710200E0
7.212443917E0,-1.191450238E0,1.629243612E0,-5.940139294E-1
7.252180917E0,-5.113706589E-1,2.608848810E0,-1.197893739E0
7.291916917E0,-1.485080123E0,5.529032350E-1,-3.389211297E-1
7.331653917E0,-8.527238965E-1,-1.867590904E0,3.319645524E-1
7.371389917E0,-1.074478030E0,-2.347767591E0,1.188748956E0
7.411125917E0,2.717403173E-1,3.100905418E0,9.939934015E-1
7.450862917E0,2.392741144E-1,9.178821445E-1,4.503899813E-1
7.490598917E0,-2.542822994E-2,1.182892442E0,2.086328119E-1
7.530335917E0,-6.043467522E-1,1.394141555E0,-3.145031929E-1
7.570071875E0,-3.917135000E-1,-1.349879265E0,-1.984473169E-1
7.609807875E0,-5.332196355E-1,-2.036954165E0,-1.478469223E-1
7.649544875E0,-6.911052465E-1,-1.751825213E0,-1.762820333E-1
7.689280875E0,-5.387900472E-1,-6.625747085E-1,-1.483601630E-1
7.729017875E0,-3.830530941E-1,7.408818603E-2,-3.044113517E-3
7.768753875E0,-3.364734352E-1,2.109599411E-1,-9.355703741E-2
7.808489875E0,-3.759858310E-1,2.273065895E-1,-2.162689418E-1
7.848226875E0,-3.179375827E-1,1.093983352E-1,-1.438954026E-1
7.887962875E0,6.520326734E-1,5.154202580E-1,-4.520883560E-1
7.927699875E0,6.870629787E-1,9.258970022E-1,2.587588727E-1
7.967435875E0,1.515058279E0,1.366916060E0,6.994368434E-1
8.007172875E0,2.785934687E0,-2.011605911E-2,7.311002016E-1
8.046908875E0,3.030896187E0,-4.417031407E-1,4.009950757E-1
8.086644875E0,1.435574293E0,2.116860390E0,6.115936209E-3
8.126381875E0,1.174429297E0,1.793732882E0,7.109291553E-1
8.166117875E0,1.530647516E0,-4.360177219E-1,9.543211460E-1
8.205854875E0,8.196962476E-1,-1.287929416E-1,8.345819712E-1
8.245590875E0,1.005805969E0,-2.406403124E-1,1.034795642E0
8.285326875E0,6.688873768E-1,-6.344956160E-1,8.402152061E-1
8.325063875E0,-1.563773155E-1,-3.650458157E-1,6.453137398E-1
8.364799875E0,-5.200537443E-1,-3.801672757E-1,1.751995832E-1
8.404536875E0,-5.288848281E-1,-1.140044332E0,-3.947117031E-1
