"event","experiment time","system time","system time text"
"START",0.000000000E0,1717594287.769,"2024-06-05 15:31:27.769 UTC+02:00"
"PAUSE",4.904213812E2,1717594778.191,"2024-06-05 15:39:38.191 UTC+02:00"
